Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age
A.J.  Hoggard,G,75.0,220.0,Fr.,Pennsylvania,,2020,Michigan_State,True,False,18.0
Aaron Henry,F,78.0,210.0,Jr.,Indiana,,2020,Michigan_State,True,False,20.0
Aaron Wheeler,F,81.0,205.0,Jr.,Connecticut,,2020,Purdue,True,False,20.0
Aaron Wiggins,G,78.0,200.0,Jr.,North Carolina,,2020,Maryland,True,False,20.0
Abdou Tsimbila,F,80.0,235.0,Freshman,Cameroon,,2020,Penn_State,False,False,18.0
Abel Porter,G,75.0,200.0,R-Sr.,Utah,,2020,Ohio_State,True,False,22.0
Adam Miller,G,75.0,180.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Adrien Nunez,G,78.0,210.0,Jr.,New York,,2020,Michigan,True,False,20.0
Ahron Ulis,G,75.0,190.0,Fr.,Illinois,,2020,Iowa,True,False,18.0
Aidan  McCool,G,75.0,160.0,Fr.,South Carolina,,2020,Maryland,True,False,18.0
Aiden Terry,G,71.0,150.0,Fr.,Kentucky,,2020,Rutgers,True,False,18.0
Akol Arop,F,77.0,203.0,Sophomore,Nebraska,,2020,Nebraska,True,False,19.0
Aleem Ford,F,80.0,217.0,R-Sr.,Georgia,,2020,Wisconsin,True,False,22.0
Aljami Durham,G,76.0,185.0,Sr.,Georgia,,2020,Indiana,True,False,21.0
Andre Curbelo,G,73.0,175.0,Fr.,Puerto Rico,,2020,Illinois,False,False,18.0
Andy Christos,G,77.0,175.0,Freshman,New Jersey,,2020,Penn_State,True,False,18.0
Anthony Gaines,G,76.0,210.0,R-Jr.,New York,,2020,Northwestern,True,False,21.0
Anthony Leal,G,77.0,210.0,Fr.,Indiana,,2020,Indiana,True,False,18.0
Aquan  Smart,G,75.0,175.0,Fr.,Illinois,,2020,Maryland,True,False,18.0
Armaan Franklin,G,76.0,195.0,So.,Indiana,,2020,Indiana,True,False,19.0
Arnaud Revaz,F,82.0,215.0,Fr.,Switzerland,,2020,Maryland,False,False,18.0
Austin Ash,G,75.0,179.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0
Austin Davis,F,82.0,250.0,Gr.,Michigan,,2020,Michigan,True,False,23.0
Austin Hutcherson,G,78.0,180.0,R-Jr.,New York,,2020,Illinois,True,False,21.0
Ayo Dosunmu,G,77.0,200.0,Jr.,Illinois,,2020,Illinois,True,False,20.0
Ben Carlson,F,81.0,218.0,Fr.,Minnesota,,2020,Wisconsin,True,False,18.0
Benjamin Bosmans-Verdonk,F,80.0,235.0,R-Fr.,Belgium,,2020,Illinois,False,False,19.0
Boo Buie,G,74.0,180.0,So.,New York,,2020,Northwestern,True,False,19.0
Both Gach,G,78.0,185.0,Jr.,Minnesota,Arizona Compass Prep,2020,Minnesota,True,False,20.0
Brad Davison,G,76.0,202.0,Sr.,Minnesota,,2020,Wisconsin,True,False,21.0
Brandon Johns Jr.,F,80.0,240.0,Jr.,Michigan,,2020,Michigan,True,False,20.0
Brandon Johnson,F,80.0,220.0,R-Sr.,Illinois,Thea Bowman Leadership Academy,2020,Minnesota,True,False,22.0
Brandon Lieb,C,84.0,210.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Brandon Newman,G,77.0,195.0,R-Fr.,Indiana,,2020,Purdue,True,False,19.0
Brandon Wade,G,73.0,185.0,Jr.,Michigan,,2020,Michigan,True,False,20.0
Bret Porter,F,77.0,228.0,Redshirt Freshman,Nebraska,,2020,Nebraska,True,False,19.0
C.J. Baird,F,77.0,225.0,Sr.,Michigan,,2020,Michigan,True,False,21.0
CJ Fredrick,G,75.0,195.0,RS So.,Ohio,,2020,Iowa,True,False,20.0
CJ Walker,G,73.0,195.0,R-Sr.,Indiana,,2020,Ohio_State,True,False,22.0
Caleb Dorsey,F,79.0,230.0,Freshman,Maryland,,2020,Penn_State,True,False,18.0
Caleb McConnell,G,79.0,195.0,Jr.,Florida,,2020,Rutgers,True,False,20.0
Carson Barrett,G,77.0,215.0,Fr.,Indiana,,2020,Purdue,True,False,18.0
Carter Gilmore,F,79.0,215.0,Fr.,Wisconsin,,2020,Wisconsin,True,False,18.0
Carter Higginbottom,G,72.0,188.0,R-So.,Illinois,,2020,Wisconsin,True,False,20.0
Chase Audige,G,76.0,200.0,R-So.,New York,,2020,Northwestern,True,False,20.0
Chase Martin,G,75.0,195.0,Fr.,Missouri,,2020,Purdue,True,False,18.0
Chaundee Brown Jr.,G,77.0,215.0,Sr.,Florida,,2020,Michigan,True,False,21.0
Chol Marial,C,86.0,235.0,So.,South Sudan,,2020,Maryland,False,False,19.0
Chris McGraw,G,72.0,170.0,Sophomore,Ohio,,2020,Nebraska,True,False,19.0
Clifford Omoruyi,C,83.0,240.0,Fr.,Nigeria,,2020,Rutgers,False,False,18.0
Coleman Hawkins,F,82.0,215.0,Fr.,California,,2020,Illinois,True,False,18.0
Connor McCaffery,G/F,77.0,205.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0
Connor Serven,F,81.0,215.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Cooper Bybee,G,73.0,188.0,Sr.,Indiana,Olney Central,2020,Indiana,True,False,21.0
D'Mitrik Trice,G,72.0,184.0,R-Sr.,Ohio,,2020,Wisconsin,True,False,22.0
DJ Gordon,G,77.0,175.0,Freshman,Pennsylvania,,2020,Penn_State,True,False,18.0
Da'Monte Williams,G,75.0,215.0,Sr.,Illinois,,2020,Illinois,True,False,21.0
Dalano Banton,G,81.0,204.0,Sophomore,Ontario,,2020,Nebraska,False,False,19.0
Dallion Johnson,G,75.0,175.0,Freshman,Massachusetts,,2020,Penn_State,True,False,18.0
Daniel Lobach,F,79.0,210.0,Fr.,North Carolina,,2020,Rutgers,True,False,18.0
Darryl Morsell,G,77.0,200.0,Sr.,Maryland,,2020,Maryland,True,False,21.0
Davis Smith,G,73.0,185.0,Fr.,Georgia,,2020,Michigan_State,True,False,18.0
Dean Reiber,F,82.0,225.0,Fr.,North Carolina,,2020,Rutgers,True,False,18.0
Derrick Walker,F,80.0,232.0,Junior,Missouri,,2020,Nebraska,True,False,20.0
Dom Martinelli,G,76.0,200.0,Fy.,Illinois,,2020,Northwestern,True,False,18.0
Donta Scott,F,79.0,230.0,So.,Pennsylvania,,2020,Maryland,True,False,19.0
Duane Jr.,G,75.0,210.0,Sr.,Michigan,,2020,Ohio_State,True,False,21.0
Dylan Sandhu,G,76.0,165.0,R-So.,Michigan,,2020,Northwestern,True,False,20.0
E.J. Liddell,F,79.0,240.0,Jr.,Illinois,West,2020,Ohio_State,True,False,20.0
Edgar Padilla Jr.,G,73.0,165.0,Fr.,Puerto Rico,,2020,Illinois,False,False,18.0
Eduardo Andre,C,82.0,228.0,Freshman,England,,2020,Nebraska,False,False,18.0
Eli Brooks,G,73.0,185.0,Sr.,Pennsylvania,,2020,Michigan,True,False,21.0
Elijah Wood,G,77.0,174.0,Freshman,Maryland,,2020,Nebraska,True,False,18.0
Emmanuel Dowuona,C,82.0,245.0,So.,Florida,,2020,Purdue,True,False,19.0
Eric Ayala,G,77.0,200.0,Jr.,Delaware,,2020,Maryland,True,False,20.0
Eric Curry,F,81.0,240.0,R-Sr.,Tennessee,Southwest Christian Academy,2020,Minnesota,True,False,22.0
Eric Hunter Jr.,G,76.0,170.0,Jr.,Indiana,,2020,Purdue,True,False,20.0
Eric Zalewski,G,72.0,185.0,R-Jr.,Illinois,,2020,Northwestern,True,False,21.0
Ethan Morton,G,78.0,215.0,Fr.,Pennsylvania,,2020,Purdue,True,False,18.0
Eugene III,G,79.0,195.0,Jr.,Georgia,,2020,Ohio_State,True,False,20.0
Foster  Loyer,G,72.0,175.0,Jr.,Michigan,,2020,Michigan_State,True,False,20.0
Franz Wagner,G,81.0,220.0,So.,Germany,,2020,Michigan,False,False,19.0
Gabe Brown,F,80.0,210.0,Jr.,Michigan,,2020,Michigan_State,True,False,20.0
Gabe Kalscheur,G,76.0,200.0,Jr.,Minnesota,DeLaSalle,2020,Minnesota,True,False,20.0
Galin Smith,F,81.0,235.0,Sr.,Mississippi,,2020,Maryland,True,False,21.0
Geo Baker,G,76.0,195.0,Sr.,New Hampshire,,2020,Rutgers,True,False,21.0
Giorgi Bezhanishvili,F,81.0,245.0,Jr.,Georgia,,2020,Illinois,True,False,20.0
Hakim Hart,G,78.0,205.0,So.,Pennsylvania,,2020,Maryland,True,False,19.0
Harrison Hookfin,F,78.0,195.0,So.,Ohio,,2020,Ohio_State,True,False,19.0
Hunt Conroy,G,70.0,165.0,Sr.,Louisiana,Jesuit,2020,Minnesota,True,False,21.0
Hunter Dickinson,C,85.0,255.0,Fr.,Virginia,,2020,Michigan,True,False,18.0
Ibrahima Diallo,C,82.0,220.0,So.,Senegal,Prolific Prep,2020,Ohio_State,False,False,19.0
Isaiah Ihnen,F,81.0,220.0,So.,Germany,IBA Munich,2020,Minnesota,False,False,19.0
Isaiah Livers,F,79.0,230.0,Sr.,Michigan,,2020,Michigan,True,False,21.0
Isaiah Thompson,G,73.0,160.0,So.,Indiana,,2020,Purdue,True,False,19.0
Izaiah Brockington,G,76.0,200.0,Junior,Pennsylvania,,2020,Penn_State,True,False,20.0
Jace Howard,G,79.0,210.0,Fr.,Florida,,2020,Michigan,True,False,18.0
Jace Piatkowski,G,75.0,184.0,Redshirt Freshman,Nebraska,,2020,Nebraska,True,False,19.0
Jack Hoiberg,G,71.0,175.0,R-Jr.,Illinois,,2020,Michigan_State,True,False,21.0
Jack Nunge,F,83.0,245.0,RS So.,Indiana,,2020,Iowa,True,False,20.0
Jacob Grandison,G/F,78.0,205.0,R-Jr.,California,,2020,Illinois,True,False,21.0
Jacob Young,G,74.0,185.0,Sr.,Texas,,2020,Rutgers,True,False,21.0
Jade Brahmbhatt,G,72.0,160.0,Jr.,Maryland,,2020,Maryland,True,False,20.0
Jaden Ivey,G,76.0,200.0,Fr.,Indiana,,2020,Purdue,True,False,18.0
Jaden Jones,G,80.0,195.0,Fr.,Texas,,2020,Rutgers,True,False,18.0
Jairus Hamilton,F,80.0,235.0,Jr.,North Carolina,,2020,Maryland,True,False,20.0
"Jamal Mashburn, Jr.",G,74.0,175.0,Fr.,Florida,Brewster Academy,2020,Minnesota,True,False,18.0
Jamari Wheeler,G,73.0,170.0,Senior,Florida,,2020,Penn_State,True,False,21.0
James  Graham III,G,80.0,205.0,Fr.,Wisconsin,,2020,Maryland,True,False,18.0
Jansen Jr.,G,71.0,190.0,Gr.,Ohio,,2020,Ohio_State,True,False,23.0
Jared Wulbrun,G,70.0,170.0,Jr.,California,,2020,Purdue,True,False,20.0
Jaron Faulds,F,82.0,240.0,Sr.,Michigan,,2020,Michigan,True,False,21.0
Jarvis Omersa,F,78.0,235.0,Jr.,Minnesota,Orono,2020,Minnesota,True,False,20.0
Jermaine Hamlin,C,82.0,235.0,So.,Illinois,,2020,Illinois,True,False,19.0
Jerome Hunter,F,79.0,215.0,R-So.,Ohio,,2020,Indiana,True,False,20.0
Jimmy Sotos,G,75.0,200.0,Gr.,Illinois,,2020,Ohio_State,True,False,23.0
Joe Hedstrom,C,84.0,247.0,R-So.,Minnesota,,2020,Wisconsin,True,False,20.0
Joe Toussaint,G,72.0,190.0,So.,New York,,2020,Iowa,True,False,19.0
Joe Wieskamp,G/F,78.0,212.0,Jr.,Iowa,,2020,Iowa,True,False,20.0
Joey Brunk,C,83.0,255.0,R-Sr.,Indiana,Butler,2020,Indiana,True,False,22.0
Joey Hauser,F,81.0,220.0,R-Jr.,Wisconsin,,2020,Michigan_State,True,False,21.0
John Harrar,F,81.0,240.0,Senior,Pennsylvania,,2020,Penn_State,True,False,21.0
Johnny Davis,G,77.0,196.0,Fr.,Wisconsin,,2020,Wisconsin,True,False,18.0
Jordan Bohannon,G,73.0,175.0,RS Sr.,Iowa,,2020,Iowa,True,False,22.0
Jordan Davis,G,76.0,202.0,Fr.,Wisconsin,,2020,Wisconsin,True,False,18.0
Jordan Geronimo,F,78.0,220.0,Fr.,New Jersey,,2020,Indiana,True,False,18.0
Josh Ogundele,F,82.0,285.0,Fr.,England,,2020,Iowa,False,False,18.0
Joshua Langford,G,77.0,200.0,Gr.,Alabama,,2020,Michigan_State,True,False,23.0
Julius Marble II,F,80.0,225.0,So.,Texas,,2020,Michigan_State,True,False,19.0
Justice Sueing,F,78.0,210.0,R-Sr.,Hawaii,,2020,Ohio_State,True,False,22.0
Justin Ahrens,F,78.0,195.0,Sr.,,,2020,Ohio_State,False,False,21.0
Justin Taphorn,G,77.0,198.0,Fr.,Illinois,,2020,Wisconsin,True,False,18.0
Keegan Murray,F,80.0,215.0,Fr.,Iowa,,2020,Iowa,True,False,18.0
Khristian Lander,G,74.0,185.0,Fr.,Indiana,,2020,Indiana,True,False,18.0
Kobe Webster,G,72.0,172.0,Senior,Indiana,,2020,Nebraska,True,False,21.0
Kofi Cockburn,C,84.0,285.0,So.,Jamaica,,2020,Illinois,False,False,19.0
Kris Murray,F,80.0,215.0,Fr.,Iowa,,2020,Iowa,True,False,18.0
Kyle McCloskey,G,77.0,212.0,Junior,Pennsylvania,,2020,Penn_State,True,False,20.0
Kyle Young,F,80.0,225.0,Gr.,Ohio,,2020,Ohio_State,True,False,23.0
Lat Mayen,F,81.0,205.0,Junior,Australia,,2020,Nebraska,False,False,20.0
Liam Robbins,C,84.0,235.0,Jr.,Iowa,Assumption HS,2020,Minnesota,True,False,20.0
Lorne Bowman II,G,74.0,180.0,Fr.,Michigan,,2020,Wisconsin,True,False,18.0
Luka Garza,C,83.0,265.0,Sr.,D.C.,,2020,Iowa,True,False,21.0
Luke  Nathan,F,83.0,235.0,Jr.,New Jersey,,2020,Rutgers,True,False,20.0
Luke Wilson,G,72.0,175.0,Sr.,Colorado,,2020,Michigan,True,False,21.0
Mady Sissoko,C,81.0,235.0,Fr.,Mali,,2020,Michigan_State,False,False,18.0
Malik Hall,F,79.0,225.0,So.,Illinois,,2020,Michigan_State,True,False,19.0
Mamadou Doucoure,F,81.0,250.0,Jr.,Mali,,2020,Rutgers,False,False,20.0
Marcus Bingham Jr.,F,83.0,225.0,Jr.,Michigan,,2020,Michigan_State,True,False,20.0
Marcus Carr,G,74.0,195.0,R-Jr.,Ontario,Montverde Academy,2020,Minnesota,False,False,21.0
Marcus Dockery,G,74.0,180.0,Fr.,D.C.,,2020,Maryland,True,False,18.0
Martice Mitchell,F,82.0,200.0,Fr.,Illinois,Bloom,2020,Minnesota,True,False,18.0
Mason Gillis,F,78.0,230.0,R-Fr.,Indiana,,2020,Purdue,True,False,19.0
Matt Frost,F,77.0,200.0,So.,Indiana,,2020,Purdue,True,False,19.0
Matthew Nicholson,C,84.0,255.0,Fy.,Michigan,,2020,Northwestern,True,False,18.0
Mawot Mag,F,79.0,215.0,Fr.,Australia,,2020,Rutgers,False,False,18.0
Meechie Jr.,G,74.0,172.0,Fr.,Ohio,Garfield Heights,2020,Ohio_State,True,False,18.0
Micah Potter,F,82.0,248.0,R-Sr.,Ohio,,2020,Wisconsin,True,False,22.0
Michael Baer,F,79.0,215.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0
Michael Shipp,G,75.0,190.0,So.,Ohio,,2020,Indiana,True,False,19.0
Mike Smith,G,71.0,185.0,Gr.,Illinois,,2020,Michigan,True,False,23.0
Miller Kopp,F,79.0,215.0,Jr.,Texas,,2020,Northwestern,True,False,20.0
Montez Mathis,G,76.0,210.0,Jr.,Maryland,,2020,Rutgers,True,False,20.0
Musa Jallow,G,77.0,210.0,R-Jr.,Indiana,North,2020,Ohio_State,True,False,21.0
Myles Dread,G,76.0,220.0,Junior,Michigan,,2020,Penn_State,True,False,20.0
Myles Johnson,C,83.0,255.0,Jr.,California,,2020,Rutgers,True,False,20.0
Myreon Jones,G,75.0,180.0,Junior,Alabama,,2020,Penn_State,True,False,20.0
Nate Reuvers,F,83.0,235.0,Sr.,Minnesota,,2020,Wisconsin,True,False,21.0
Nathan Childress,F,78.0,212.0,So.,Indiana,,2020,Indiana,True,False,19.0
Nick  Brooks,G,73.0,185.0,Sr.,New Jersey,,2020,Rutgers,True,False,21.0
Oskar Palmquist,F,80.0,220.0,Fr.,Sweden,,2020,Rutgers,False,False,18.0
Parker Stewart,G,77.0,200.0,R-Jr.,Tennessee,UT-Martin/Pitt,2020,Indiana,True,False,21.0
Patrick Kelly,F,80.0,215.0,Redshirt Freshman,North Carolina,,2020,Penn_State,True,False,19.0
Patrick McCaffery,F,81.0,200.0,RS Fr.,Iowa,,2020,Iowa,True,False,
Paul  Mulcahy,G,78.0,210.0,So.,New Jersey,,2020,Rutgers,True,False,19.0
Pete Nance,F,82.0,225.0,Jr.,Ohio,,2020,Northwestern,True,False,20.0
Race Thompson,F,80.0,228.0,R-Jr.,Minnesota,,2020,Indiana,True,False,21.0
Reese Mona,G,74.0,185.0,Sr.,Maryland,,2020,Maryland,True,False,21.0
Rico Ozuna-Harrison,G,71.0,175.0,Sr.,Michigan,,2020,Michigan,True,False,21.0
Rob Phinisee,G,73.0,187.0,Jr.,Indiana,,2020,Indiana,True,False,20.0
Robbie Beran,F,81.0,215.0,So.,Virginia,,2020,Northwestern,True,False,19.0
Rocket Watts,G,74.0,185.0,So.,Michigan,,2020,Michigan_State,True,False,19.0
Ron Harper Jr. ,G,78.0,245.0,Jr.,New Jersey,,2020,Rutgers,True,False,20.0
Roy Dixon III,G,71.0,170.0,So.,Georgia,,2020,Northwestern,True,False,19.0
Ryan Greer,G,74.0,190.0,Jr.,Georgia,,2020,Northwestern,True,False,20.0
Ryan Young,C,82.0,245.0,R-So.,New Jersey,,2020,Northwestern,True,False,20.0
Sam Freeman,C,82.0,240.0,So.,Texas,Northwest,2020,Minnesota,True,False,19.0
Sam Sessoms,G,72.0,187.0,Junior,Pennsylvania,Binghamton,2020,Penn_State,True,False,20.0
Sasha Stefanovic,G,77.0,200.0,Jr.,Indiana,,2020,Purdue,True,False,20.0
Sebastien Scott,G,74.0,185.0,Fr.,California,,2020,Indiana,True,False,18.0
Seth Lundy,F,78.0,219.0,Sophomore,New Jersey,,2020,Penn_State,True,False,19.0
Seth Towns,F,81.0,230.0,Gr.,Ohio,,2020,Ohio_State,True,False,23.0
Shamiel Stevenson,G,78.0,245.0,Junior,Ontario,Nevada/Pitt,2020,Nebraska,False,False,20.0
Steven Crowl,F,84.0,217.0,Fr.,Minnesota,,2020,Wisconsin,True,False,18.0
Steven Izzo,G,68.0,150.0,So.,Michigan,,2020,Michigan_State,True,False,19.0
Taylor Nussbaum,G,74.0,175.0,Senior,New York,,2020,Penn_State,True,False,21.0
Teddy Allen,G,78.0,223.0,Junior,Arizona,,2020,Nebraska,True,False,20.0
Terrance Williams II,F,79.0,240.0,Fr.,Maryland,,2020,Michigan,True,False,18.0
Thomas Kithier,F,80.0,230.0,Jr.,Michigan,,2020,Michigan_State,True,False,20.0
Thorir Thorbjarnarson,G,78.0,202.0,Senior,Iceland,,2020,Nebraska,False,False,21.0
Tony Perkins,G,76.0,210.0,Fr.,Indiana,,2020,Iowa,True,False,18.0
Trayce Jackson-Davis,F,81.0,245.0,So.,Indiana,,2020,Indiana,True,False,19.0
Tre' Williams,G,77.0,200.0,So.,Texas,Wasatch Academy,2020,Minnesota,True,False,19.0
Trent Buttrick,F,80.0,240.0,Senior,Pennsylvania,,2020,Penn_State,True,False,21.0
Trent Frazier,G,74.0,175.0,Sr.,Florida,,2020,Illinois,True,False,21.0
Trevion Williams,F,82.0,265.0,Jr.,Illinois,,2020,Purdue,True,False,20.0
Trevor Anderson,G,75.0,195.0,R-Sr.,Wisconsin,,2020,Wisconsin,True,False,22.0
Trevor Lakes,F,79.0,215.0,Senior,Indiana,,2020,Nebraska,True,False,21.0
Trey Galloway,G,76.0,210.0,Fr.,Indiana,,2020,Indiana,True,False,18.0
Trey McGowens,G,76.0,191.0,Junior,South Carolina,,2020,Nebraska,True,False,20.0
Ty Berry,G,75.0,190.0,Fy.,Kansas,,2020,Northwestern,True,False,18.0
Tyler Underwood,G,74.0,180.0,Gr.,Illinois,,2020,Illinois,True,False,23.0
Tyler Wahl,F,81.0,220.0,So.,Minnesota,,2020,Wisconsin,True,False,19.0
Walt McGrory,G,75.0,205.0,Sr.,Minnesota,,2020,Wisconsin,True,False,21.0
Yvan Ouedraogo,F,81.0,245.0,Sophomore,France,,2020,Nebraska,False,False,19.0
Zach Edey,C,88.0,185.0,Fr.,Ontario,,2020,Purdue,False,False,18.0
Zach Griffith,F,78.0,220.0,Sr.,Illinois,,2020,Illinois,True,False,21.0
Zeb Jackson,G,77.0,180.0,Fr.,Ohio,,2020,Michigan,True,False,18.0
Zed Key,F,80.0,255.0,Jr.,New York,,2020,Ohio_State,True,False,20.0
A.J.  Hoggard,G,76.0,210.0,So.,Pennsylvania,,2021,Michigan_State,True,False,19.0
