Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age
Aiden Terry,G,70.0,160.0,Sr.,Kentucky,,2023,Rutgers,True,False,21.0
Amani Hansberry,F,80.0,240.0,Fr.,Maryland,,2023,Illinois,True,False,18.0
Andy Christos,G,77.0,186.0,Senior,New Jersey,,2023,Penn_State,True,False,21.0
Anthony Leal,G,77.0,200.0,Sr.,Indiana,,2023,Indiana,True,False,21.0
Anthony Walker,F,80.0,215.0,Sr.+,Maryland,Miami (Fla.),2023,Indiana,True,True,23.0
Antonio Chol,F,81.0,220.0,R-Fr.,New York,,2023,Rutgers,True,False,19.0
Antwone Woolfolk,F,81.0,225.0,So.,Ohio,,2023,Rutgers,True,False,19.0
Aundre Hyatt,F,78.0,235.0,Sr.,New York,,2023,Rutgers,True,True,21.0
Austin Parks,C,82.0,260.0,Fr.,Ohio,St. Marys Memorial,2023,Ohio_State,True,False,18.0
Austin Williams,G,76.0,205.0,Gr.,New Jersey,,2023,Rutgers,True,True,23.0
Ben Krikke,F,81.0,245.0,Graduate Student,Alberta,Valparaiso,2023,Iowa,False,True,23.0
Ben Murphy,G,73.0,193.0,Jr.,Maryland,,2023,Maryland,True,False,20.0
Blaise Keita,F,83.0,257.0,Junior,Republic of Mali,Coffeyville CC,2023,Nebraska,False,True,20.0
Blake Barkley,F,79.0,210.0,Fy.,West Virginia,,2023,Northwestern,True,False,18.0
Blake Preston,F,81.0,240.0,Gr.,North Carolina,Liberty,2023,Northwestern,True,True,23.0
Blake Smith,G,78.0,175.0,So.,Pennsylvania,,2023,Northwestern,True,False,19.0
Boo Buie,G,74.0,180.0,Gr.,New York,,2023,Northwestern,True,False,23.0
Bowen Hardman,G,75.0,190.0,So.,Ohio,Princeton,2023,Ohio_State,True,False,19.0
Braden  Pierce,C,84.0,230.0,Fr.,Georgia,,2023,Maryland,True,False,18.0
Braden Smith,G,72.0,175.0,So.,Indiana,,2023,Purdue,True,False,19.0
Braeden Carrington,G,76.0,195.0,So.,Minn,Park Center HS,2023,Minnesota,False,False,19.0
Bragi GuÃ°mundsson,G,77.0,175.0,Freshman,Iceland,,2023,Penn_State,False,False,18.0
Brian Waddell,F,80.0,190.0,So.,Indiana,,2023,Purdue,True,False,19.0
Brice Williams,G,79.0,213.0,Junior,North Carolina,Charlotte,2023,Nebraska,True,True,20.0
Brock Harding,G,72.0,162.0,Fr.,Illinois,,2023,Iowa,True,False,18.0
Brooks Barnhizer,G,78.0,215.0,Jr.,Indiana,,2023,Northwestern,True,False,20.0
Bruce Thornton,G,74.0,215.0,So.,Georgia,Milton,2023,Ohio_State,True,False,19.0
C.J. Wilcher,G,77.0,214.0,Junior,New Jersey,Xavier,2023,Nebraska,True,False,20.0
CJ Gunn,G,78.0,198.0,So.,Indiana,,2023,Indiana,True,False,19.0
Caelum Swanton-Rodger,C,83.0,220.0,So.,Alberta,,2023,Maryland,False,False,19.0
Cale Jacobsen,G,76.0,200.0,Redshirt Freshman,Nebraska,Ashland-Greenwood,2023,Nebraska,True,False,19.0
Caleb Furst,F,82.0,225.0,Jr.,Indiana,,2023,Purdue,True,False,20.0
Cam Christie,G,78.0,190.0,Fr.,Illinois,Rolling Meadows HS,2023,Minnesota,True,False,18.0
Camden Heide,F,79.0,205.0,R-Fr.,Minnesota,,2023,Purdue,True,False,19.0
Carson Barrett,G,77.0,210.0,Sr.,Indiana,,2023,Purdue,True,False,21.0
Carson Cooper,C,83.0,240.0,So.,Michigan,,2023,Michigan_State,True,False,19.0
Carter Gilmore,F,79.0,232.0,Jr.,Wisconsin,,2023,Wisconsin,True,False,20.0
Carter Kingsbury,G,76.0,225.0,RS So.,Nebraska,,2023,Iowa,True,False,20.0
Chance  Stephens,G,75.0,185.0,So.,California,,2023,Maryland,True,True,19.0
Chase Martin,G,74.0,180.0,Sr.,Missouri,,2023,Purdue,True,False,21.0
Chris Hodges,F,81.0,250.0,So.,Illinois,,2023,Wisconsin,True,False,19.0
Chucky Hepburn,G,74.0,195.0,Jr.,Nebraska,,2023,Wisconsin,True,False,20.0
Clifford Omoruyi,C,83.0,240.0,Sr.,Nigeria,,2023,Rutgers,False,False,21.0
Coen Carr,F,77.0,220.0,Fr.,Georgia,,2023,Michigan_State,True,False,18.0
Colby Baumann,G,75.0,190.0,So.,Texas,IMG Academy,2023,Ohio_State,True,False,19.0
Coleman Hawkins,F,82.0,230.0,Sr.,California,,2023,Illinois,True,False,21.0
Connor Essegian,G,76.0,195.0,So.,Indiana,,2023,Wisconsin,True,False,19.0
Cooper Smith,G,73.0,180.0,Jr.,Michigan,,2023,Michigan,True,True,20.0
D'Marco Dunn,G,77.0,195.0,Junior,Arizona,North Carolina,2023,Penn_State,True,True,20.0
Dain Dainja,F/C,81.0,255.0,R-Jr.,Minnesota,,2023,Illinois,True,False,21.0
Dale Bonner,G,74.0,175.0,5th,Ohio,Shaker Heights,2023,Ohio_State,True,True,23.0
Dan Conlan,G,76.0,186.0,Senior,Pennsylvania,Dickinson,2023,Penn_State,True,False,21.0
Daniel Vessey,G,75.0,190.0,Fr.,New Jersey,,2023,Rutgers,True,False,18.0
Dasonte Bowen,G,74.0,183.0,So.,Massachusetts,,2023,Iowa,True,False,19.0
Davis Smith,G,72.0,160.0,Sr.,Georgia,,2023,Michigan_State,True,False,21.0
Dawson Garcia,F,83.0,230.0,Jr.,Minnesota,Prior Lake HS,2023,Minnesota,True,True,20.0
DeShawn  Harris-Smith,G,77.0,215.0,Fr.,Virginia,,2023,Maryland,True,False,18.0
Demetrius Lilley,F,82.0,245.0,Sophomore,Pennsylvania,,2023,Penn_State,True,False,19.0
Derek Simpson,G,75.0,165.0,So.,New Jersey,,2023,Rutgers,True,False,19.0
Devin Royal,F,78.0,210.0,Fr.,Ohio,Pickerington Central,2023,Ohio_State,True,False,18.0
Donta Scott,F,80.0,230.0,5th,Pennsylvania,,2023,Maryland,True,False,23.0
Dra Gibbs-Lawhorn,G,73.0,185.0,Fr.,Indiana,,2023,Illinois,True,False,18.0
Dug McDaniel,G,71.0,175.0,So.,D.C.,,2023,Michigan,True,False,19.0
Eli Rice,G,80.0,213.0,Freshman,Tennessee,IMG Academy,2023,Nebraska,True,False,18.0
Elijah Hawkins,G,71.0,165.0,Jr.,D.C.,DeMatha Catholic HS,2023,Minnesota,True,True,20.0
Emmanuel Ogbole,C,82.0,260.0,So.,Nigeria,,2023,Rutgers,False,True,19.0
Erick Reader,F,80.0,210.0,Fr.,Minnesota,New Life Academy,2023,Minnesota,True,False,18.0
Ethan Morton,G,79.0,215.0,Sr.,Pennsylvania,,2023,Purdue,True,False,21.0
Evan Mahaffey,G,78.0,200.0,So.,Ohio,Archbishop Moeller,2023,Ohio_State,True,False,19.0
Even Brauns,C,81.0,245.0,Sr.,Iowa,Belmont,2023,Iowa,True,True,21.0
Favour Aire,F,83.0,220.0,Sophomore,Nigeria,Miami (Fla.),2023,Penn_State,False,True,19.0
Felix Okpara,C,83.0,235.0,So.,Nigeria,Hamilton Heights Christian Acad./Link Acad.,2023,Ohio_State,False,False,19.0
Fletcher Loyer,G,76.0,180.0,So.,Indiana,,2023,Purdue,True,False,19.0
Gabe Cupps,G,74.0,175.0,Fr.,Ohio,,2023,Indiana,True,False,18.0
Gavin Griffiths,G,80.0,193.0,Fr.,Connecticut,,2023,Rutgers,True,False,18.0
Gehrig Normand,G,77.0,190.0,Fr.,Texas,,2023,Michigan_State,True,False,18.0
George Washington III,G,74.0,170.0,Fr.,Texas,,2023,Michigan,True,False,18.0
Gus Hurlburt,F,81.0,210.0,So.,North Dakota,,2023,Northwestern,True,False,19.0
Gus Yalden,F,81.0,245.0,Fr.,Wisconsin,,2023,Wisconsin,True,False,18.0
Harrison Hochberg,F,79.0,225.0,Fr.,New York,,2023,Michigan,True,False,18.0
Henry Burt,F,79.0,216.0,Redshirt Freshman,Nebraska,Elkhorn South,2023,Nebraska,True,False,19.0
Ian Burns,G,78.0,205.0,Jr.,Illinois,,2023,Michigan,True,False,20.0
Ian Stephens,G,78.0,180.0,Fr.,Indiana,,2023,Indiana,True,False,18.0
Isaac Gard,G,74.0,165.0,So.,Wisconsin,,2023,Wisconsin,True,False,19.0
Isaac Lindsey,G,76.0,185.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0
Isaiah Ihnen,F,81.0,220.0,R-Jr.,Germany,IBA Munich,2023,Minnesota,False,False,21.0
Jace Howard,G,80.0,225.0,Jr.,Florida,,2023,Michigan,True,False,20.0
Jace Rayl,G,71.0,170.0,Fr.,Indiana,,2023,Purdue,True,False,18.0
Jack Janicki,G,77.0,190.0,Fr.,Minnesota,,2023,Wisconsin,True,False,18.0
Jack Wilson,C,83.0,285.0,Gr.,California,Junipero Serra HS,2023,Minnesota,True,True,23.0
Jackson Creel,G,75.0,190.0,Jr.,Illinois,Rend Lake College,2023,Indiana,True,True,20.0
Jackson Purcell,G,77.0,195.0,R-So.,Minnesota,Eastview,2023,Minnesota,True,False,20.0
Jackson Selvala,F,79.0,230.0,5th,Connecticut,,2023,Michigan,True,True,23.0
Jacob Morales,G,76.0,205.0,So.,New Jersey,,2023,Rutgers,True,False,19.0
Jaden Akins,G,76.0,190.0,Jr.,Michigan,,2023,Michigan_State,True,False,20.0
Jaelin Llewellyn,G,74.0,190.0,Gr.,Ontario,,2023,Michigan,False,True,23.0
Jahari Long,G,77.0,200.0,Sr.,Texas,,2023,Maryland,True,True,21.0
Jahmir Young,G,73.0,185.0,5th,Maryland,,2023,Maryland,True,True,23.0
Jahnathan  Lamothe,G,76.0,192.0,Fr.,Maryland,,2023,Maryland,True,False,18.0
Jakai Newton,G,75.0,203.0,Fr.,Georgia,,2023,Indiana,True,False,18.0
Jamarques Lawrence,G,75.0,183.0,Sophomore,New Jersey,Roselle Catholic,2023,Nebraska,True,False,19.0
Jameel Brown,G,76.0,188.0,Sophomore,Pennsylvania,,2023,Penn_State,True,False,19.0
James Goodis,G,72.0,175.0,Fr.,Florida,,2023,Indiana,True,False,18.0
Jamichael Davis,G,74.0,175.0,Fr.,Tennessee,,2023,Rutgers,True,False,18.0
"Jamie  Kaiser, Jr.",F,78.0,205.0,Fr.,Virginia,,2023,Maryland,True,False,18.0
Jamison Battle,F,79.0,220.0,5th,Minnesota,DeLaSalle,2023,Ohio_State,True,True,23.0
Jarron Coleman,G,77.0,213.0,Senior,Indiana,Ball State,2023,Nebraska,True,True,21.0
Jaxon Kohler,F,81.0,245.0,So.,Utah,,2023,Michigan_State,True,False,19.0
Jeffrey Grace III,G,75.0,197.0,Sophomore,Illinois,Arizona State,2023,Nebraska,True,False,19.0
Jeremiah Williams,G,76.0,177.0,R-Jr.,Illinois,,2023,Rutgers,True,True,21.0
Jeremy Fears Jr.,G,74.0,190.0,Fr.,Illinois,,2023,Michigan_State,True,False,18.0
John Blackwell,G,76.0,194.0,Fr.,Michigan,,2023,Wisconsin,True,False,18.0
Jordan  Geronimo,F,78.0,225.0,Sr.,New Jersey,,2023,Maryland,True,True,21.0
Jordan Clayton,G,74.0,180.0,Fy.,Massachusetts,,2023,Northwestern,True,False,18.0
Jordan Rayford,G,77.0,205.0,R-Fr.,D.C.,Air Force,2023,Indiana,True,False,19.0
Josh Dix,G,77.0,200.0,So.,Iowa,,2023,Iowa,True,False,19.0
Josh Furst,F,78.0,200.0,Fr.,Indiana,,2023,Purdue,True,False,18.0
Joshua Ola-Joseph,F,79.0,215.0,So.,Minnesota,Compass Prep,2023,Minnesota,True,False,19.0
Josiah Allick,F,80.0,231.0,Senior,Nebraska,New Mexico,2023,Nebraska,True,True,21.0
Jovone Cater,G,74.0,180.0,Sr.,New York,,2023,Iowa,True,False,21.0
Julian Reese,F,81.0,230.0,Jr.,Maryland,,2023,Maryland,True,False,20.0
Justin Harmon,G,76.0,180.0,Gr.,Illinois,,2023,Illinois,True,True,23.0
Justin Mullins,G,78.0,190.0,So.,Illinois,Denver,2023,Northwestern,True,True,19.0
Juwan Gary,F,78.0,221.0,Junior,South Carolina,Alabama,2023,Nebraska,True,True,20.0
Kadyn Betts,F,80.0,220.0,R-Fr.,Colorado,Pueblo Central,2023,Minnesota,True,False,19.0
Kaleb Banks,F,80.0,220.0,So.,Georgia,,2023,Indiana,True,False,19.0
Kalen Etzler,F,80.0,190.0,R-So.,Ohio,Crestview,2023,Ohio_State,True,False,20.0
Kamari McGee,G,72.0,180.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0
Kanye Clary,G,71.0,195.0,Sophomore,Virginia,,2023,Penn_State,True,False,19.0
Keaton Kutcher,G,74.0,200.0,Jr.,Iowa,,2023,Illinois,True,True,20.0
Keisei Tominaga,G,74.0,179.0,Senior,Japan,Ranger College,2023,Nebraska,False,True,21.0
Kel'el Ware,C,84.0,242.0,So.,Arkansas,Oregon,2023,Indiana,True,True,19.0
Kris Keinys,F,80.0,215.0,Fr.,Lithuania,Klaipedos Vytauto Did??iojo gimnazija,2023,Minnesota,False,False,18.0
Ladji Dembele,F,80.0,250.0,Fr.,New Jersey,,2023,Iowa,True,False,18.0
Lance Jones,G,73.0,200.0,5th,Illinois,,2023,Purdue,True,True,23.0
Leo O'Boyle,F,79.0,225.0,Graduate Student,Pennsylvania,Lafayette,2023,Penn_State,True,True,23.0
Luc Laketa,G,77.0,185.0,Jr.,Michigan,Winchendon (MA),2023,Iowa,True,False,20.0
Lukas Sotell,G,75.0,170.0,Fr.,Connecticut,,2023,Maryland,True,False,18.0
Luke Goode,G/F,79.0,205.0,Jr.,Indiana,,2023,Illinois,True,False,20.0
Luke Haertle,G,76.0,215.0,R-Fr.,Wisconsin,,2023,Wisconsin,True,False,19.0
Luke Hunger,F,82.0,255.0,So.,Quebec,,2023,Northwestern,False,False,19.0
Mackenzie Mgbako,F,80.0,217.0,Fr.,New Jersey,,2023,Indiana,True,False,18.0
Mady  Traore,F,83.0,195.0,So.,France,,2023,Maryland,False,True,19.0
Mady Sissoko,C,81.0,250.0,Sr.,Mali,,2023,Michigan_State,False,False,21.0
Malik Hall,F,80.0,220.0,Gr.,Illinois,,2023,Michigan_State,True,False,23.0
Malik Reneau,F,81.0,233.0,So.,Florida,,2023,Indiana,True,False,19.0
Marcus Domask,G/F,78.0,215.0,Gr.,Wisconsin,,2023,Illinois,True,True,23.0
Markus Ilver,F,81.0,225.0,Jr.,Estonia,,2023,Wisconsin,False,False,20.0
Mason Gillis,F,78.0,225.0,Sr.,Indiana,,2023,Purdue,True,False,21.0
Matar Diop,F,82.0,213.0,Freshman,Senegal,Keystone Athletic Academy,2023,Nebraska,False,False,18.0
Matthew Nicholson,C,84.0,280.0,Sr.,Michigan,,2023,Northwestern,True,False,21.0
Mawot Mag,F,79.0,216.0,Sr.,Australia,,2023,Rutgers,False,False,21.0
Max Klesmit,G,76.0,200.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0
Max Williams,G,74.0,200.0,Sr.,Illinois,,2023,Illinois,True,True,21.0
Mike Mitchell Jr.,G,74.0,185.0,Jr.,California,Archbishop Mitty,2023,Minnesota,True,True,20.0
Myles Colvin,G,77.0,200.0,Fr.,Indiana,,2023,Purdue,True,False,18.0
Niccolo Moretti,G,73.0,170.0,R-Fr.,Italy,,2023,Illinois,False,False,19.0
Nick Kern Jr.,G,78.0,200.0,Junior,Missouri,VCU,2023,Penn_State,True,True,20.0
Nick Martinelli,F,79.0,200.0,So.,Illinois,,2023,Northwestern,True,False,19.0
Nick Sanders,G,70.0,185.0,So.,Michigan,,2023,Michigan_State,True,False,19.0
Nimari Burnett,G,76.0,200.0,Gr.,Illinois,,2023,Michigan,True,True,23.0
Noah Batchelor,G,78.0,185.0,So.,Maryland,,2023,Maryland,True,False,19.0
Noah Fernandes,G,71.0,180.0,5th,Massachusetts,,2023,Rutgers,True,True,23.0
Nolan Winter,F,83.0,220.0,Fr.,Minnesota,,2023,Wisconsin,True,False,18.0
Olivier Nkamhoua,F,81.0,235.0,Gr.,Finland,,2023,Michigan,False,True,23.0
Oskar Palmquist,F,80.0,220.0,R-Sr.,Sweden,,2023,Rutgers,False,False,22.0
Owen Freeman,F,82.0,230.0,Fr.,Illinois,,2023,Iowa,True,False,18.0
Owen Spencer,F,81.0,230.0,Sr.,Ohio,Turpin,2023,Ohio_State,True,True,21.0
Parker Fox,F,80.0,220.0,R-Sr.,Minnesota,Mahtomedi,2023,Minnesota,True,True,22.0
Parker Strauss,G,75.0,180.0,Fy.,California,,2023,Northwestern,True,False,18.0
Patrick McCaffery,F,81.0,212.0,RS Sr.,Iowa,,2023,Iowa,True,False,22.0
Payton Sandfort,F,79.0,215.0,Jr.,Iowa,,2023,Iowa,True,False,20.0
Payton Sparks,F,82.0,258.0,Jr.,Indiana,Ball State,2023,Indiana,True,True,20.0
Pharrel Payne,F,81.0,255.0,So.,Minnesota,Park High School Cottage Grove,2023,Minnesota,True,False,19.0
Pryce Sandfort,F,78.0,205.0,Fr.,Iowa,,2023,Iowa,True,False,18.0
Puff Johnson,G,80.0,205.0,Senior,Pennsylvania,North Carolina,2023,Penn_State,True,True,21.0
Qudus Wahab,F,83.0,245.0,Graduate Student,Nigeria,Georgetown/Maryland,2023,Penn_State,False,True,23.0
Quincy Guerrier,G/F,80.0,230.0,Gr.,Quebec,,2023,Illinois,False,True,23.0
Ramel Lloyd Jr.,G,78.0,210.0,Redshirt Freshman,California,Sierra Canyon,2023,Nebraska,True,False,19.0
RayQuawndis Mitchell,G,77.0,195.0,Graduate Student,Minnesota,Kansas City/UIC/Otero JC/Idaho,2023,Penn_State,True,True,23.0
Rienk Mast,F,82.0,248.0,Junior,Netherlands,Bradley,2023,Nebraska,False,True,20.0
Riley Mulvey,F,83.0,245.0,Jr.,New York,,2023,Iowa,True,False,20.0
Roddy Gayle Jr.,G,76.0,210.0,So.,New York,Lewiston-Porter,2023,Ohio_State,True,False,19.0
Ross Candelino,G,77.0,195.0,So.,Florida,,2023,Wisconsin,True,False,19.0
Ryan Langborg,G,76.0,195.0,Gr.,California,Princeton,2023,Northwestern,True,True,23.0
Sam Hoiberg,G,72.0,183.0,Sophomore,Nebraska,Pius X,2023,Nebraska,True,False,19.0
Sam King,F,80.0,220.0,So.,Indiana,,2023,Purdue,True,False,19.0
Scotty Middleton,G,79.0,190.0,Fr.,Florida,Sunrise Christian,2023,Ohio_State,True,False,18.0
Sencire Harris,G,76.0,170.0,So.,Ohio,,2023,Illinois,True,False,19.0
Shaan Burke,G,77.0,195.0,Jr.,California,,2023,Indiana,True,False,20.0
Spencer Hutchison,G,76.0,202.0,RS Fr.,Texas,,2023,Iowa,True,False,
Steven Crowl,F,84.0,247.0,Jr.,Minnesota,,2023,Wisconsin,True,False,20.0
Steven Izzo,G,68.0,150.0,Gr.,Michigan,,2023,Michigan_State,True,False,23.0
Taison Chatman,G,76.0,175.0,Fr.,Minnesota,Totino-Grace,2023,Ohio_State,True,False,18.0
Tarris Reed Jr.,F,82.0,265.0,So.,Missouri,,2023,Michigan,True,False,19.0
Terrance Williams II,F,79.0,225.0,Sr.,Maryland,,2023,Michigan,True,False,21.0
Terrence Shannon Jr.,G,78.0,225.0,5th,Illinois,,2023,Illinois,True,True,23.0
Tony Perkins,G,76.0,205.0,Sr.,Indiana,,2023,Iowa,True,False,21.0
Tray Jackson,F,82.0,215.0,Gr.,Michigan,,2023,Michigan,True,True,23.0
Tre Holloman,G,74.0,180.0,So.,Minnesota,,2023,Michigan_State,True,False,19.0
Trey Galloway,G,77.0,205.0,Sr.,Indiana,,2023,Indiana,True,False,21.0
Trey Kaufman-Renn,F,81.0,230.0,So.,Indiana,,2023,Purdue,True,False,19.0
Ty Berry,G,75.0,185.0,Sr.,Kansas,,2023,Northwestern,True,False,21.0
Ty Rodgers,G/F,78.0,210.0,So.,Michigan,,2023,Illinois,True,False,19.0
Tyler Wahl,F,81.0,225.0,Gr.,Minnesota,,2023,Wisconsin,True,False,23.0
Tyson Walker,G,73.0,185.0,Gr.,New York,,2023,Michigan_State,True,True,23.0
Will Berg,C,86.0,255.0,R-Fr.,Sweden,,2023,Purdue,False,False,19.0
Will Ramberg,G,77.0,205.0,Sr.,Minnesota,Cook County,2023,Minnesota,True,True,21.0
Will Tschetter,F,80.0,245.0,R-So.,Minnesota,,2023,Michigan,True,False,20.0
Xavier Booker,F,83.0,220.0,Fr.,Indiana,,2023,Michigan_State,True,False,18.0
Xavier Johnson,G,75.0,200.0,R-Sr.+,Virginia,Pitt,2023,Indiana,True,True,24.0
Youssef Khayat,F,81.0,215.0,So.,Lebanon,,2023,Michigan,False,False,19.0
Zach Edey,C,88.0,300.0,Sr.,Ontario,,2023,Purdue,False,False,21.0
Zach Hayn,G,74.0,195.0,Gr.,New York,,2023,Rutgers,True,True,23.0
Zach Hicks,F,80.0,200.0,Junior,New Jersey,Temple,2023,Penn_State,True,True,20.0
Zed Key,F,80.0,230.0,Sr.,New York,,2023,Ohio_State,True,False,21.0
